epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,455.168,0.38277,0.15809,0.005,0.93155,0.9948,0.99114,0.86747,0.47385,0.21031,0.0069,0.00123791,0.00123791,0.00123791
80,460.286,0.39082,0.17803,0.00523,0.98983,0.9629,0.99287,0.85398,0.54336,0.21376,0.0077,0.00123241,0.00123241,0.00123241
81,465.916,0.39948,0.1668,0.00512,0.98095,0.99942,0.995,0.87219,0.49461,0.17631,0.00736,0.00122691,0.00122691,0.00122691
82,472.039,0.37617,0.15807,0.00487,0.98024,0.97059,0.99191,0.86372,0.48389,0.20109,0.00766,0.00122141,0.00122141,0.00122141
83,477.682,0.38063,0.16641,0.00511,0.95302,0.99231,0.98838,0.83388,0.53566,0.19486,0.00765,0.00121591,0.00121591,0.00121591
84,482.704,0.40717,0.16276,0.00558,0.98988,0.93982,0.98661,0.86547,0.48638,0.25752,0.00683,0.00121041,0.00121041,0.00121041
85,487.886,0.39191,0.14492,0.00513,0.98186,0.96471,0.98924,0.86319,0.46734,0.26866,0.00676,0.00120491,0.00120491,0.00120491
86,493.233,0.39671,0.15163,0.00531,0.97597,0.98689,0.98985,0.87197,0.44266,0.22632,0.00669,0.00119941,0.00119941,0.00119941
87,498.253,0.37214,0.15732,0.00505,0.98903,0.92489,0.98516,0.85995,0.48705,0.2435,0.00738,0.00119391,0.00119391,0.00119391
88,503.367,0.39304,0.16111,0.00547,0.97503,0.98794,0.98955,0.86325,0.4708,0.22089,0.00729,0.0011884,0.0011884,0.0011884
89,508.635,0.48912,0.18888,0.00645,0.9807,0.97692,0.98826,0.86656,0.5435,0.27424,0.00733,0.0011829,0.0011829,0.0011829
90,513.749,0.46182,0.17144,0.00627,0.99424,0.98268,0.98985,0.82132,0.57029,0.24439,0.00892,0.0011774,0.0011774,0.0011774
91,519.616,0.48046,0.18476,0.0066,0.95531,0.99111,0.9877,0.8164,0.57062,0.26489,0.00855,0.0011719,0.0011719,0.0011719
92,525.181,0.46306,0.17827,0.00585,0.9493,0.98133,0.99093,0.87257,0.4732,0.20875,0.00669,0.0011664,0.0011664,0.0011664
93,530.939,0.42443,0.161,0.00561,0.99183,0.93243,0.99153,0.85677,0.50638,0.19964,0.00736,0.0011609,0.0011609,0.0011609
94,536.418,0.40842,0.16773,0.00534,0.98866,0.95903,0.98685,0.84485,0.55349,0.21907,0.00811,0.0011554,0.0011554,0.0011554
95,541.614,0.38216,0.16372,0.00498,0.99373,0.94118,0.98847,0.86608,0.43954,0.18576,0.00659,0.0011499,0.0011499,0.0011499
96,546.529,0.40351,0.16609,0.00528,0.99626,0.96008,0.99229,0.87293,0.43715,0.17349,0.00665,0.0011444,0.0011444,0.0011444
97,551.985,0.41425,0.17914,0.0053,0.97161,0.99788,0.995,0.84988,0.66032,0.20278,0.00925,0.00113889,0.00113889,0.00113889
98,557.511,0.40947,0.15463,0.00528,0.9701,0.98345,0.99309,0.87754,0.51142,0.19224,0.00665,0.00113339,0.00113339,0.00113339
99,562.672,0.38645,0.15929,0.00519,0.99825,0.98306,0.99455,0.89594,0.42603,0.18229,0.00593,0.00112789,0.00112789,0.00112789
100,568.025,0.40219,0.17503,0.0054,0.95395,0.99231,0.9868,0.86553,0.50094,0.18787,0.00789,0.00112239,0.00112239,0.00112239
101,572.97,0.3931,0.16889,0.00544,0.9966,0.9527,0.99339,0.86171,0.49781,0.18263,0.00789,0.00111689,0.00111689,0.00111689
102,578.025,0.37163,0.16059,0.00518,0.99648,0.96142,0.99103,0.88032,0.43567,0.19224,0.00654,0.00111139,0.00111139,0.00111139
103,583.056,0.37721,0.15477,0.00518,0.95787,1,0.99005,0.88349,0.44245,0.18856,0.00646,0.00110589,0.00110589,0.00110589
104,588.408,0.34621,0.14651,0.0045,0.98287,0.9907,0.99448,0.87172,0.48123,0.20342,0.00671,0.00110039,0.00110039,0.00110039
105,593.419,0.37202,0.15153,0.00487,0.9844,0.97184,0.99388,0.86507,0.44579,0.18271,0.00651,0.00109489,0.00109489,0.00109489
106,598.382,0.39899,0.16605,0.00505,0.99625,0.97059,0.99237,0.83288,0.55766,0.18999,0.00804,0.00108938,0.00108938,0.00108938
107,603.546,0.41045,0.16599,0.00499,0.96449,0.9514,0.98883,0.87053,0.44117,0.20441,0.00625,0.00108388,0.00108388,0.00108388
108,608.202,0.39407,0.144,0.00508,0.95623,0.98036,0.99331,0.90546,0.40181,0.16979,0.00574,0.00107838,0.00107838,0.00107838
109,613.14,0.33616,0.13888,0.00442,0.99473,0.96261,0.99485,0.88111,0.43369,0.194,0.00669,0.00107288,0.00107288,0.00107288
110,618.101,0.34229,0.14147,0.00474,0.95774,0.97059,0.98671,0.87036,0.46636,0.19075,0.00712,0.00106738,0.00106738,0.00106738
111,623.429,0.35216,0.14111,0.00475,0.99628,0.93561,0.98675,0.90244,0.38407,0.15798,0.00556,0.00106188,0.00106188,0.00106188
112,628.791,0.35254,0.14249,0.00502,0.94369,1,0.98854,0.86718,0.45091,0.18309,0.00682,0.00105638,0.00105638,0.00105638
113,633.874,0.32855,0.12287,0.00437,0.92087,1,0.98869,0.87902,0.43701,0.18288,0.0067,0.00105088,0.00105088,0.00105088
114,638.959,0.37519,0.1566,0.005,0.99457,0.95292,0.9908,0.89064,0.40348,0.18949,0.00584,0.00104538,0.00104538,0.00104538
115,643.998,0.33832,0.14457,0.0045,0.94486,0.99893,0.9918,0.88309,0.4223,0.19583,0.00631,0.00103987,0.00103987,0.00103987
116,648.583,0.32638,0.13178,0.00451,0.99023,0.92579,0.98652,0.87669,0.43598,0.18484,0.00663,0.00103437,0.00103437,0.00103437
117,653.399,0.31957,0.13755,0.00433,0.99264,0.95574,0.99346,0.87537,0.441,0.15544,0.00673,0.00102887,0.00102887,0.00102887
118,658.315,0.31318,0.12667,0.00421,0.96417,0.9598,0.98384,0.86843,0.41073,0.16515,0.00626,0.00102337,0.00102337,0.00102337
119,663.021,0.32007,0.1343,0.00443,0.92926,0.95752,0.97657,0.86802,0.41229,0.25041,0.00574,0.00101787,0.00101787,0.00101787
120,669.128,0.32466,0.13854,0.00427,0.99323,0.95567,0.98737,0.87425,0.42633,0.22701,0.0062,0.00101237,0.00101237,0.00101237
121,674.216,0.30438,0.12134,0.00417,0.94439,0.94305,0.9755,0.88081,0.39877,0.26426,0.00561,0.00100687,0.00100687,0.00100687
122,679.258,0.33729,0.14464,0.0044,0.90378,0.98483,0.973,0.88381,0.38052,0.25401,0.00549,0.00100137,0.00100137,0.00100137
123,684.653,0.32649,0.12788,0.00446,0.972,0.98607,0.98861,0.88471,0.42065,0.22673,0.0062,0.000995866,0.000995866,0.000995866
124,689.294,0.3559,0.14617,0.00478,0.96671,0.98462,0.98846,0.8879,0.42426,0.2243,0.00647,0.000990365,0.000990365,0.000990365
125,693.942,0.32474,0.15373,0.00461,0.99145,0.90407,0.97857,0.89256,0.39962,0.25751,0.00584,0.000984864,0.000984864,0.000984864
126,699.134,0.37498,0.15072,0.00498,0.90186,0.98727,0.98165,0.88703,0.42747,0.26832,0.00652,0.000979362,0.000979362,0.000979362
127,704.18,0.35603,0.14261,0.00488,0.9681,0.93485,0.98317,0.88284,0.42657,0.26586,0.00661,0.000973861,0.000973861,0.000973861
128,708.947,0.32808,0.12881,0.0046,0.99655,0.98556,0.99,0.88177,0.39543,0.21198,0.0061,0.00096836,0.00096836,0.00096836
129,714.164,0.28655,0.13089,0.0037,0.96372,0.99126,0.99302,0.89126,0.39166,0.16776,0.00579,0.000962859,0.000962859,0.000962859
130,719.402,0.29919,0.12838,0.00392,0.97141,0.98317,0.995,0.88024,0.42867,0.16184,0.00628,0.000957358,0.000957358,0.000957358
131,724.241,0.28605,0.12936,0.00367,0.95932,0.99573,0.99354,0.88326,0.41237,0.15654,0.00621,0.000951857,0.000951857,0.000951857
132,729.618,0.31848,0.12825,0.00414,0.99562,0.99332,0.995,0.89216,0.41697,0.13501,0.00621,0.000946356,0.000946356,0.000946356
133,734.873,0.30435,0.12685,0.00413,0.99089,0.99306,0.995,0.89596,0.39782,0.13228,0.006,0.000940855,0.000940855,0.000940855
134,740.563,0.31395,0.12588,0.00419,0.99361,0.98692,0.995,0.89585,0.41136,0.1449,0.00613,0.000935354,0.000935354,0.000935354
135,748.136,0.33574,0.12789,0.00461,0.99746,0.97876,0.995,0.88262,0.43711,0.14838,0.00649,0.000929853,0.000929853,0.000929853
136,753.028,0.32083,0.13724,0.00427,0.99731,0.99545,0.995,0.87855,0.44169,0.14538,0.00685,0.000924352,0.000924352,0.000924352
137,757.832,0.33973,0.13755,0.00461,0.9939,0.99598,0.995,0.86011,0.49098,0.15555,0.0071,0.00091885,0.00091885,0.00091885
138,763.874,0.31464,0.12857,0.00416,0.97101,1,0.995,0.89314,0.44614,0.1618,0.00624,0.000913349,0.000913349,0.000913349
139,770.397,0.35956,0.1328,0.00476,0.98483,0.99231,0.9947,0.89055,0.43249,0.15778,0.00634,0.000907848,0.000907848,0.000907848
140,775.255,0.36063,0.14236,0.00489,0.99301,0.99721,0.995,0.89666,0.42373,0.14083,0.00603,0.000902347,0.000902347,0.000902347
141,780.189,0.31706,0.12471,0.00405,0.96032,0.9969,0.99187,0.88729,0.39621,0.15537,0.00563,0.000896846,0.000896846,0.000896846
